replicate,model,auc
181,Logistic,0.809433621933622
181,Random Forest,0.7893898901551962
181,XGBoost,0.8087010778337309
182,Logistic,0.8060063845865909
182,Random Forest,0.796226455071297
182,XGBoost,0.8089073458058775
183,Logistic,0.8235315614617941
183,Random Forest,0.807235880398671
183,XGBoost,0.8223089700996677
184,Logistic,0.7983897087816144
184,Random Forest,0.7718396186560017
184,XGBoost,0.7882628992282994
185,Logistic,0.7820304343809857
185,Random Forest,0.7712872477817341
185,XGBoost,0.7862273184385778
186,Logistic,0.8381858314063485
186,Random Forest,0.8284895942821107
186,XGBoost,0.8324889636325414
187,Logistic,0.8325946914656592
187,Random Forest,0.8165642601126473
187,XGBoost,0.8299030597417694
188,Logistic,0.8111886578972662
188,Random Forest,0.7834387493739957
188,XGBoost,0.8025367298038772
189,Logistic,0.799338491386363
189,Random Forest,0.7939422373750697
189,XGBoost,0.8003018696550871
190,Logistic,0.7908300823137727
190,Random Forest,0.7952402350265868
190,XGBoost,0.7985593387664509
191,Logistic,0.804414090582315
191,Random Forest,0.7923939611790078
191,XGBoost,0.802755212077642
192,Logistic,0.8093709302793927
192,Random Forest,0.794746787857632
192,XGBoost,0.805559657908516
193,Logistic,0.7990565120734473
193,Random Forest,0.7815569902452943
193,XGBoost,0.7944550879052311
194,Logistic,0.8001907689046686
194,Random Forest,0.7862752371363467
194,XGBoost,0.7951300937947114
195,Logistic,0.7993072329575952
195,Random Forest,0.7918058910359635
195,XGBoost,0.798394726247987
196,Logistic,0.8267818831942789
196,Random Forest,0.8089460241784436
196,XGBoost,0.8172518304103525
197,Logistic,0.8032218317110339
197,Random Forest,0.7951698266038799
197,XGBoost,0.8035461771852991
198,Logistic,0.8059500603360252
198,Random Forest,0.788007398468737
198,XGBoost,0.800636708369002
199,Logistic,0.7904125964222344
199,Random Forest,0.7810879682749663
199,XGBoost,0.7895036814057885
